Team,Rating_Sigmoid,Rating_Windmill,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
GB open @ Toms Tourney,162.59,10.45,646.55,1,8,7,1,0.875,0.5432651230348599,117,60,7.125,1.0,43,0
Mooncatchers,157.57,10.3,759.16,3,22,20,2,0.9090909090909091,0.6038720251040824,319,217,4.636363636363637,1.0,59,1
BFD La Fotta,138.04,9.27,634.73,3,19,16,3,0.8421052631578947,0.5854562065897798,270,175,5.0,1.0,69,1
Belgium Open @ London Invite,136.59,9.36,669.26,1,5,3,2,0.6,0.65,63,51,2.4,1.0,7,0
Germany Open @ London Invite,133.49,8.89,686.05,1,5,4,1,0.8,0.49000000000000005,70,58,2.4,1.0,7,0
France Open @ Windmill,126.76,8.5,590.21,1,8,5,3,0.625,0.6914835858585858,107,84,2.875,1.0,53,0
GB open @ London Invite,124.91,8.43,630.79,1,5,4,1,0.8,0.42000000000000004,62,47,3.0,1.0,14,0
Clapham Ultimate,118.58,7.71,545.82,3,18,13,5,0.7222222222222222,0.6081650816153741,237,187,2.7777777777777777,1.0,73,1
Czech Republic Open @ Windmill,118.09,7.7,467.24,1,8,4,4,0.5,0.6792403198653199,97,85,1.5,1.0,42,0
Condors @ Windmill,110.01,7.41,448.26,1,8,4,4,0.5,0.6338909932659933,104,91,1.625,1.0,41,0
Austria Open @ Windmill,104.27,6.82,453.96,1,8,6,2,0.75,0.5332792207792207,100,97,0.375,1.0,31,0
FUJ @ Vienna Spring Break 2023,98.15,6.6,487.95,1,6,6,0,1.0,0.5568627450980391,87,54,5.5,1.0,30,0
BEL U24 @ Toms Tourney,96.19,6.38,419.31,1,8,5,3,0.625,0.5955905388471178,100,85,1.875,1.0,38,0
Tchac,92.35,6.06,440.43,2,14,11,3,0.7857142857142857,0.535045383292119,186,147,2.7857142857142856,1.0,59,1
Spain open @ Toms Tourney,91.71,6.07,390.76,1,8,5,3,0.625,0.6047626167691957,104,87,2.125,1.0,53,0
Bad Skid,89.7,5.69,359.09,3,16,14,2,0.875,0.4517454489481344,233,150,5.1875,1.0,70,1
3SB - Open,86.3,5.73,413.68,3,17,15,2,0.8823529411764706,0.46303607004299047,240,159,4.764705882352941,1.0,73,1
Barbarian RFC @ London Invite,83.84,5.42,415.88,1,5,3,2,0.6,0.47000000000000003,59,61,-0.4,1.0,14,0
Czech Republic Open @ London Invite,79.88,5.08,312.85,1,5,2,3,0.4,0.62,53,61,-1.6,1.0,14,0
M.U.C.,78.67,5.29,340.59,3,17,14,3,0.8235294117647058,0.5147474335002543,240,168,4.235294117647059,1.0,72,1
Wall City,78.33,5.12,332.06,4,24,14,10,0.5833333333333334,0.6239719274996286,302,270,1.3333333333333333,1.0,75,1
Netherlands open @ Toms Tourney,73.26,4.8,295.97,1,8,5,3,0.625,0.5885416666666666,99,95,0.5,1.0,39,0
Chevron Action Flash,71.62,4.52,272.84,3,14,7,7,0.5,0.5363524197557811,178,158,1.4285714285714286,1.0,63,1
Københavns Frisbee Klub (KFK),67.55,4.56,269.17,1,6,4,2,0.6666666666666666,0.5799548482839191,79,64,2.5,1.0,49,0
Switzerland Open @ Windmill,61.21,3.85,179.03,1,8,3,5,0.375,0.6065265752765753,100,96,0.5,1.0,49,0
JetSet Ultimate Open,53.42,3.49,184.64,2,14,9,5,0.6428571428571429,0.5091716366642813,178,162,1.1428571428571428,1.0,60,1
Nomadic Tribe @ London Invite,53.22,3.13,175.48,1,5,1,4,0.2,0.51,53,64,-2.2,1.0,14,0
France Masters Open @ London Invite,52.31,3.2,208.03,1,4,1,3,0.25,0.55,39,53,-3.5,1.0,7,0
Alba,50.78,3.27,169.99,3,21,13,8,0.6190476190476191,0.4890663648057132,269,234,1.6666666666666667,1.0,79,1
Iznogood,46.59,2.95,165.03,2,14,8,6,0.5714285714285714,0.5076197438039544,151,153,-0.14285714285714285,1.0,49,1
Alligators,46.35,2.86,183.9,2,11,6,5,0.5454545454545454,0.6177831672033754,131,129,0.18181818181818182,1.0,67,1
Gentle Open,46.15,3.04,115.84,4,27,14,13,0.5185185185185185,0.5067887191808461,335,318,0.6296296296296297,1.0,75,1
Cotarica Grandes,44.75,2.9,145.09,3,19,10,9,0.5263157894736842,0.46899085244775324,232,205,1.4210526315789473,1.0,56,1
GB U24 open @ Toms Tourney,43.91,2.77,156.1,1,8,4,4,0.5,0.5424337943288172,92,95,-0.375,1.0,54,0
Ranelagh,37.08,2.37,106.27,2,11,5,6,0.45454545454545453,0.5702861309813181,143,140,0.2727272727272727,1.0,61,1
Ireland open @ Windmill,36.28,2.38,153.14,1,8,6,2,0.75,0.48646425090504036,98,91,0.875,1.0,59,0
Solebang,34.38,1.95,80.87,1,6,2,4,0.3333333333333333,0.5982000455684666,57,68,-1.8333333333333333,1.0,33,0
Denmark open @ Toms Tourney,30.45,1.86,63.69,1,8,3,5,0.375,0.518170426065163,86,94,-1.0,1.0,43,0
Panthers Wroclaw - Open,30.32,2.03,110.81,4,25,18,7,0.72,0.48747469833228346,326,274,2.08,1.0,84,1
Ireland open @ Toms Tourney,26.84,2.01,35.97,1,8,4,4,0.5,0.4199748692383132,95,90,0.625,1.0,45,0
Flying Angels Bern,26.33,1.66,94.86,3,17,9,8,0.5294117647058824,0.6102004854854973,195,205,-0.5882352941176471,1.0,59,1
Frizstyle,22.4,1.29,-4.98,1,8,3,5,0.375,0.5296573188020557,92,107,-1.875,1.0,54,0
Panthers Bern,20.83,1.14,26.53,3,20,10,10,0.5,0.4991476950047754,238,248,-0.5,1.0,75,1
Freezzz Beezzz,18.28,1.19,13.69,2,11,6,5,0.5454545454545454,0.4998963153752738,141,130,1.0,1.0,60,1
Red Bulls,17.79,1.12,-22.84,3,20,9,11,0.45,0.5057220520203088,228,241,-0.65,1.0,77,1
Outsiterz,16.17,0.67,-43.03,3,17,12,5,0.7058823529411765,0.40960513898776507,237,164,4.294117647058823,1.0,55,1
Bristol Open,16.15,1.21,-48.64,1,6,3,3,0.5,0.44915824915824915,72,67,0.8333333333333334,1.0,36,0
Heidees Open,12.39,0.66,-25.98,4,24,11,13,0.4583333333333333,0.4873633233987644,296,313,-0.7083333333333334,1.0,78,1
Cus Padova Barbastreji,9.9,0.42,-35.86,2,11,4,7,0.36363636363636365,0.5802263436910214,121,145,-2.1818181818181817,1.0,62,1
FrankN,4.04,0.17,-43.8,2,10,6,4,0.6,0.48876212590299273,126,117,0.9,1.0,63,1
SmashD,4.01,0.06,-70.7,3,18,9,9,0.5,0.4852659777952176,205,199,0.3333333333333333,1.0,74,1
Catchup  @ Vienna Spring Break 2023,1.77,0.11,-8.43,1,5,3,2,0.6,0.4358823529411765,61,57,0.8,1.0,21,0
Freespeed,-2.09,-0.39,-102.59,3,19,7,12,0.3684210526315789,0.5072627999565817,201,234,-1.736842105263158,1.0,73,1
UFO,-9.35,-0.67,-139.87,1,6,3,3,0.5,0.4576648841354724,77,74,0.5,1.0,41,0
Frizzly Bears,-10.29,-0.87,-151.5,4,23,7,16,0.30434782608695654,0.5211123001774502,254,304,-2.1739130434782608,1.0,71,1
FWD>>,-14.66,-1.14,-152.36,3,17,9,8,0.5294117647058824,0.4916882170824986,201,201,0.0,1.0,63,1
GB masters @ Toms Tourney,-15.09,-1.21,-224.43,1,8,1,7,0.125,0.49970238095238095,77,105,-3.5,1.0,43,0
Armada,-15.56,-1.46,-130.92,1,6,3,3,0.5,0.4716587227776486,55,70,-2.5,1.0,40,0
Amsterdam Ultimate Club,-18.88,-1.34,-180.17,2,14,5,9,0.35714285714285715,0.5202616666017816,148,181,-2.357142857142857,1.0,67,1
thebigEZ,-19.51,-1.48,-211.64,3,17,7,10,0.4117647058823529,0.46569295210344197,207,204,0.17647058823529413,1.0,67,1
7 Schwaben,-21.7,-1.45,-173.84,2,11,6,5,0.5454545454545454,0.3906700392205599,142,128,1.2727272727272727,1.0,55,1
AUT U24 Open @ Vienna Spring Break 2023,-22.64,-1.24,-236.47,1,5,2,3,0.4,0.4763529411764706,55,55,0.0,1.0,37,0
Ars Ludendi,-23.45,-1.75,-199.6,1,5,2,3,0.4,0.5183333333333333,56,60,-0.8,1.0,34,0
Terrible Monkeys,-24.72,-1.76,-253.46,3,17,6,11,0.35294117647058826,0.49976062320352976,188,200,-0.7058823529411765,1.0,67,1
Hardfisch,-25.41,-1.87,-222.98,3,19,8,11,0.42105263157894735,0.48273815147369004,220,238,-0.9473684210526315,1.0,84,1
XVI,-30.34,-1.73,-246.79,2,11,4,7,0.36363636363636365,0.44409196425006703,127,136,-0.8181818181818182,1.0,56,1
Top of Nord Italy,-32.32,-2.26,-266.21,1,8,3,5,0.375,0.3980654761904762,90,94,-0.5,1.0,38,0
Aarhus Ultimate,-32.69,-2.56,-277.64,2,11,3,8,0.2727272727272727,0.5424751467241585,106,146,-3.6363636363636362,1.0,52,1
PirU,-33.7,-2.32,-251.19,1,6,4,2,0.6666666666666666,0.4444444444444445,77,71,1.0,1.0,33,0
Uprising,-38.03,-2.52,-295.77,3,17,9,8,0.5294117647058824,0.3769722434428317,202,193,0.5294117647058824,1.0,60,1
bHOENIX @ Windmill,-39.12,-2.75,-282.3,1,8,3,5,0.375,0.38742324561403507,87,99,-1.5,1.0,49,0
Fire of London,-40.66,-2.73,-295.95,1,5,1,4,0.2,0.6141176470588234,53,71,-3.6,1.0,36,0
LOL,-45.07,-3.32,-374.05,1,5,1,4,0.2,0.5163529411764706,56,67,-2.2,1.0,37,0
Bora,-49.86,-3.25,-371.78,2,14,3,11,0.21428571428571427,0.4421493253474101,140,193,-3.7857142857142856,1.0,69,1
Prague Devils,-52.25,-3.56,-351.27,1,6,3,3,0.5,0.4222875816993464,73,74,-0.16666666666666666,1.0,34,0
PELT Ultimate,-53.56,-3.35,-295.47,1,5,3,2,0.6,0.36323232323232324,56,61,-1.0,1.0,24,0
Otso,-56.29,-3.9,-305.83,1,6,4,2,0.6666666666666666,0.338235294117647,72,71,0.16666666666666666,1.0,34,0
Devon Ultimate,-60.44,-4.38,-377.83,1,8,3,5,0.375,0.38742324561403507,84,103,-2.375,1.0,55,0
Chilly Ultimate @ Windmill,-69.16,-4.55,-470.86,1,8,1,7,0.125,0.42584325396825395,76,106,-3.75,1.0,41,0
Helsinki Ultimate,-74.31,-5.22,-473.51,1,6,2,4,0.3333333333333333,0.45006535947712417,65,76,-1.8333333333333333,1.0,34,0
Family Ultimate,-77.29,-5.39,-425.99,1,5,2,3,0.4,0.4657575757575757,50,69,-3.8,1.0,37,0
Ka-Pow!,-82.37,-5.16,-467.86,2,14,2,12,0.14285714285714285,0.4134829769228266,136,199,-4.5,1.0,53,1
Canieporci,-82.96,-5.72,-467.24,1,6,1,5,0.16666666666666666,0.5614973262032086,47,84,-6.166666666666667,1.0,41,0
Alligators U20 @ Vienna Spring Break 2023,-89.35,-6.44,-616.2,1,4,1,3,0.25,0.40294117647058825,37,54,-4.25,1.0,29,0
Red Bulls U20 @ Vienna Spring Break 2023,-89.84,-5.64,-561.75,1,4,1,3,0.25,0.47058823529411764,32,52,-5.0,1.0,20,0
Sturm und Drang,-90.55,-6.36,-580.44,1,5,2,3,0.4,0.4333014354066986,58,72,-2.8,1.0,31,0
NXT,-92.04,-6.75,-566.62,1,6,1,5,0.16666666666666666,0.5669934640522876,59,84,-4.166666666666667,1.0,23,0
Révolution'air,-94.33,-6.59,-615.08,1,5,0,5,0.0,0.43212234388704973,42,69,-5.4,1.0,49,0
Lahntalknaben,-95.22,-6.37,-571.84,1,5,2,3,0.4,0.26,70,61,1.8,1.0,13,0
Newcastle Brown,-98.87,-6.7,-533.32,1,5,2,3,0.4,0.3142857142857143,50,69,-3.8,1.0,40,0
SLOVENIA,-103.48,-6.65,-619.57,3,17,4,13,0.23529411764705882,0.4267650094093365,177,219,-2.4705882352941178,1.0,62,1
TUGA (Portugal Open) @ Windmill,-104.73,-7.34,-612.54,1,8,1,7,0.125,0.36755952380952384,66,114,-6.0,1.0,39,0
Reading Open,-113.42,-7.52,-651.85,1,6,1,5,0.16666666666666666,0.3904761904761905,59,85,-4.333333333333333,1.0,37,0
ESV München  @ Vienna Spring Break 2023,-116.23,-7.17,-771.71,1,4,0,4,0.0,0.5154411764705882,31,56,-6.25,1.0,29,0
Hard2Fisch,-128.66,-8.09,-664.29,2,10,1,9,0.1,0.46221983259707045,83,146,-6.3,1.0,57,1
Dublin Frisbee 7s,-129.24,-8.49,-713.26,1,5,1,4,0.2,0.3728138528138528,42,72,-6.0,1.0,22,0
DEAC FreeBees,-141.76,-8.32,-840.49,1,5,2,3,0.4,0.3294117647058824,51,48,0.6,1.0,20,0
Disckick,-145.05,-10.02,-811.73,1,5,1,4,0.2,0.34421052631578947,51,73,-4.4,1.0,26,0
ESV München,-158.14,-10.48,-811.64,1,1,0,1,0.0,0.4117647058823529,6,15,-9.0,1.0,15,0
Azvarlirea,-417.84,-19.65,-1440.48,1,5,0,5,0.0,0.39529411764705885,6,75,-13.8,1.0,20,0
