team_id,team_name,division_id,division_name,country_id,country_ioc,country_name,iso2c
NULL,Left Overs,NULL,Mixed,1051,CZE,Czech Republic,CZ
NULL,Prague Devils,NULL,Mixed,1051,CZE,Czech Republic,CZ
NULL,KS FLOW WROCŁAW,NULL,Mixed,1151,POL,Poland,PL
NULL,Savage Ultimate,NULL,Mixed,1151,POL,Poland,PL
NULL,Pelt,NULL,Mixed,1088,IRL,Ireland,IE
NULL,Hässliche Erdferkel,NULL,Mixed,1073,GER,Germany,DE
NULL,FRuBB,NULL,Mixed,1073,GER,Germany,DE
NULL,RJP,NULL,Mixed,1151,POL,Poland,PL
NULL,Zoom Ultimate,NULL,Mixed,1190,TUR,Turkey,TR
NULL,Transylvania Ultimate,NULL,Mixed,1156,ROU,Romania,RO
NULL,Leamington Lemmings,NULL,Mixed,1069,GBR,Great Britain,GB
NULL,DISConnection,NULL,Mixed,1073,GER,Germany,DE
NULL,Gold,NULL,Mixed,1018,BEL,Belgium,BE
NULL,Zombees,NULL,Mixed,1012,AUT,Austria,AT
NULL,FucZH,NULL,Mixed,1174,SUI,Switzerland,CH
NULL,HoneyMoon,NULL,Mixed,1018,BEL,Belgium,BE
NULL,Owls UC,NULL,Mixed,1018,BEL,Belgium,BE
NULL,FlyHigh,NULL,Mixed,1174,SUI,Switzerland,CH
NULL,3SB - Open,NULL,Open,1051,CZE,Czech Republic,CZ
NULL,M.U.C.,NULL,Open,1073,GER,Germany,DE
NULL,Cotarica Grandes,NULL,Open,1093,ITA,Italy,IT
NULL,Panthers Wrocław,NULL,Open,1151,POL,Poland,PL
NULL,Flying Angels Bern,NULL,Open,1174,SUI,Switzerland,CH
NULL,Alligators,NULL,Open,1093,ITA,Italy,IT
NULL,Panthers Bern,NULL,Open,1174,SUI,Switzerland,CH
NULL,Freespeed One,NULL,Open,1174,SUI,Switzerland,CH
NULL,Red Bulls,NULL,Open,1093,ITA,Italy,IT
NULL,Outsiterz,NULL,Open,1176,SVK,Slovakia,SK
NULL,thebigEZ,NULL,Open,1012,AUT,Austria,AT
NULL,Hardfisch,NULL,Open,1073,GER,Germany,DE
NULL,FWD>>,NULL,Open,1012,AUT,Austria,AT
NULL,Canieporci,NULL,Open,1093,ITA,Italy,IT
NULL,Slovenia,NULL,Open,1166,SLO,Slovenia,SI
NULL,Cus Padova Barbastreji,NULL,Open,1093,ITA,Italy,IT
NULL,Shout,NULL,Women,1093,ITA,Italy,IT
NULL,3SB - women,NULL,Women,1051,CZE,Czech Republic,CZ
NULL,box vienna,NULL,Women,1012,AUT,Austria,AT
NULL,Catchup Women,NULL,Women,1012,AUT,Austria,AT
NULL,East Block,NULL,Women,1051,CZE,Czech Republic,CZ
NULL,Panthers Wroclaw,NULL,Women,1151,POL,Poland,PL
NULL,DiscoBolo,NULL,Women,1093,ITA,Italy,IT
NULL,Cheetahs,NULL,Women,1093,ITA,Italy,IT
NULL,CUS Padova Tane Malefiche,NULL,Women,1093,ITA,Italy,IT
NULL,Tequila Boom Boom,NULL,Women,1093,ITA,Italy,IT
NULL,JetSet Ultimate Open,NULL,Open,1018,BEL,Belgium,BE
NULL,Uprising,NULL,Open,1151,POL,Poland,PL
NULL,Gentle Open,NULL,Open,1018,BEL,Belgium,BE
NULL,Bad Skid,NULL,Open,1073,GER,Germany,DE
NULL,Aarhus Ultimate,NULL,Open,1052,DEN,Denmark,DK
NULL,UFO,NULL,Open,1135,NED,Netherlands,NL
NULL,Terrible Monkeys,NULL,Open,1051,CZE,Czech Republic,CZ
NULL,SmashD,NULL,Open,1069,GBR,Great Britain,GB
NULL,Frizzly Bears Aachen,NULL,Open,1073,GER,Germany,DE
NULL,7 Schwaben,NULL,Open,1073,GER,Germany,DE
NULL,Bora,NULL,Open,1073,GER,Germany,DE
NULL,Hard2Fisch,NULL,Open,1073,GER,Germany,DE
NULL,XVI,NULL,Open,1088,IRL,Ireland,IE
NULL,Freezzz Beezzz,NULL,Open,1018,BEL,Belgium,BE
NULL,Révolution'air,NULL,Open,1065,FRA,France,FR
NULL,Disconnection,NULL,Mixed,1073,GER,Germany,DE
NULL,Grut,NULL,Mixed,1135,NED,Netherlands,NL
NULL,Deep Space,NULL,Mixed,1069,GBR,Great Britain,GB
NULL,PUC,NULL,Mixed,1065,FRA,France,FR
NULL,Mosquitos,NULL,Mixed,1012,AUT,Austria,AT
NULL,Reading,NULL,Mixed,1069,GBR,Great Britain,GB
NULL,Smog,NULL,Mixed,1069,GBR,Great Britain,GB
NULL,Sesquidistus,NULL,Mixed,1065,FRA,France,FR
NULL,Shout,NULL,Women,1093,ITA,Italy,IT
NULL,3SB - women,NULL,Women,1051,CZE,Czech Republic,CZ
NULL,box vienna,NULL,Women,1012,AUT,Austria,AT
NULL,Seagulls,NULL,Women,1073,GER,Germany,DE
NULL,Yaka,NULL,Women,1065,FRA,France,FR
NULL,Bristol Women,NULL,Women,1069,GBR,Great Britain,GB
NULL,JinX,NULL,Women,1073,GER,Germany,DE
NULL,FABulous,NULL,Women,1174,SUI,Switzerland,CH
NULL,Ranelagh,NULL,Open,1088,IRL,Ireland,IE
NULL,Heidees,NULL,Open,1073,GER,Germany,DE
NULL,Chevron Action Flash,NULL,Open,1069,GBR,Great Britain,GB
NULL,3SB - Open,NULL,Open,1051,CZE,Czech Republic,CZ
NULL,Clapham,NULL,Open,1069,GBR,Great Britain,GB
NULL,BFD La Fotta,NULL,Open,1093,ITA,Italy,IT
NULL,Mooncatchers,NULL,Open,1018,BEL,Belgium,BE
NULL,Wall City,NULL,Open,1073,GER,Germany,DE
NULL,Zoom Ultimate,NULL,Mixed,1190,TUR,Turkey,TR
NULL,Fireball Ultimate,NULL,Mixed,1190,TUR,Turkey,TR
NULL,Transylvania Ultimate,NULL,Mixed,1156,ROU,Romania,RO
NULL,Shopski Otryad,NULL,Mixed,1030,BUL,Bulgaria,BG
NULL,Steamhuck,NULL,Mixed,1190,TUR,Turkey,TR
NULL,Iron Force Armenia,NULL,Mixed,1008,ARM,Armenia,AM
NULL,Seahawks Ultimate,NULL,Mixed,1190,TUR,Turkey,TR
NULL,OldSchool,NULL,Mixed,1190,TUR,Turkey,TR
NULL,Outsiterz,NULL,Open,1176,SVK,Slovakia,SK
NULL,Triglav,NULL,Open,1166,SLO,Slovenia,SI
NULL,DEAC FreeBees,NULL,Open,1084,HUN,Hungary,HU
NULL,Azvarlirea,NULL,Open,1156,ROU,Romania,RO
NULL,Bremen,NULL,Mixed,1073,GER,Germany,DE
NULL,DTU,NULL,Mixed,1052,DEN,Denmark,DK
NULL,Gentle Mixed,NULL,Mixed,1018,BEL,Belgium,BE
NULL,GRUT,NULL,Mixed,1135,NED,Netherlands,NL
NULL,Malmö Ultimate Club,NULL,Mixed,1177,SWE,Sweden,SE
NULL,Nullacht! Ultimate,NULL,Mixed,1073,GER,Germany,DE
NULL,Owls UC,NULL,Mixed,1018,BEL,Belgium,BE
NULL,Tartu Turbulence,NULL,Mixed,1061,EST,Estonia,EE
NULL,Alligators,NULL,Open,1093,ITA,Italy,IT
NULL,BFD LaFotta,NULL,Open,1093,ITA,Italy,IT
NULL,Cotarica Grandes,NULL,Open,1093,ITA,Italy,IT
NULL,Cus Padova Barbastreji,NULL,Open,1093,ITA,Italy,IT
NULL,Flying Angels Bern,NULL,Open,1174,SUI,Switzerland,CH
NULL,Freespeed,NULL,Open,1174,SUI,Switzerland,CH
NULL,Iznogood,NULL,Open,1065,FRA,France,FR
NULL,Panthers Bern,NULL,Open,1174,SUI,Switzerland,CH
NULL,Red Bulls,NULL,Open,1093,ITA,Italy,IT
NULL,Solebang,NULL,Open,1174,SUI,Switzerland,CH
NULL,Tchac,NULL,Open,1065,FRA,France,FR
NULL,FWD>>,NULL,Open,1012,AUT,Austria,AT
NULL,Helsinki Ultimate,NULL,Open,1064,FIN,Finland,FI
NULL,NXT,NULL,Open,1194,UKR,Ukraine,UA
NULL,Otso,NULL,Open,1064,FIN,Finland,FI
NULL,Outsiterz,NULL,Open,1176,SVK,Slovakia,SK
NULL,Panthers Wrocław,NULL,Open,1151,POL,Poland,PL
NULL,PirU,NULL,Open,1064,FIN,Finland,FI
NULL,Prague Devils,NULL,Open,1051,CZE,Czech Republic,CZ
NULL,SLOVENIA,NULL,Open,1166,SLO,Slovenia,SI
NULL,Terrible Monkeys,NULL,Open,1051,CZE,Czech Republic,CZ
NULL,thebigEZ,NULL,Open,1012,AUT,Austria,AT
NULL,Uprising,NULL,Open,1151,POL,Poland,PL
NULL,AUT BeeFire,NULL,Mixed,1093,ITA,Italy,IT
NULL,CUS Bergamo Ultimate,NULL,Mixed,1093,ITA,Italy,IT
NULL,DiscoBolo,NULL,Mixed,1093,ITA,Italy,IT
NULL,FlyHigh,NULL,Mixed,1174,SUI,Switzerland,CH
NULL,FucZH,NULL,Mixed,1174,SUI,Switzerland,CH
NULL,Manchots,NULL,Mixed,1065,FRA,France,FR
NULL,Monkey Grenoble,NULL,Mixed,1065,FRA,France,FR
NULL,Sesquidistus,NULL,Mixed,1065,FRA,France,FR
NULL,Aarhus Ultimate,NULL,Open,1052,DEN,Denmark,DK
NULL,Amsterdam Ultimate Club,NULL,Open,1135,NED,Netherlands,NL
NULL,Armada,NULL,Open,1018,BEL,Belgium,BE
NULL,Bad Skid,NULL,Open,1073,GER,Germany,DE
NULL,Freezzz Beezzz,NULL,Open,1018,BEL,Belgium,BE
NULL,Frizzly Bears Aachen,NULL,Open,1073,GER,Germany,DE
NULL,Gentle Open,NULL,Open,1018,BEL,Belgium,BE
NULL,Heidees Open,NULL,Open,1073,GER,Germany,DE
NULL,Københavns Frisbee Klub (KFK),NULL,Open,1052,DEN,Denmark,DK
NULL,M.U.C.,NULL,Open,1073,GER,Germany,DE
NULL,Wall City,NULL,Open,1073,GER,Germany,DE
NULL,AKS ZŁY ULTIMATE,NULL,Mixed,1151,POL,Poland,PL
NULL,Catchup Mixed,NULL,Mixed,1012,AUT,Austria,AT
NULL,KS FLOW WROCŁAW,NULL,Mixed,1151,POL,Poland,PL
NULL,Left Overs,NULL,Mixed,1051,CZE,Czech Republic,CZ
NULL,Mosquitos,NULL,Mixed,1012,AUT,Austria,AT
NULL,Rubber Duckies,NULL,Mixed,1166,SLO,Slovenia,SI
NULL,OUT,NULL,Mixed,1084,HUN,Hungary,HU
NULL,Savage Ultimate,NULL,Mixed,1151,POL,Poland,PL
NULL,ZomBees,NULL,Mixed,1012,AUT,Austria,AT
NULL,3SB - women,NULL,Women,1051,CZE,Czech Republic,CZ
NULL,box vienna,NULL,Women,1012,AUT,Austria,AT
NULL,East Block,NULL,Women,1051,CZE,Czech Republic,CZ
NULL,Panthers Wroclaw,NULL,Women,1151,POL,Poland,PL
NULL,Troubles Warsaw,NULL,Women,1151,POL,Poland,PL
NULL,FABulous,NULL,Women,1174,SUI,Switzerland,CH
NULL,Heidees Frauen,NULL,Women,1073,GER,Germany,DE
NULL,Jetset LUV,NULL,Women,1018,BEL,Belgium,BE
NULL,Lillipuc,NULL,Women,1065,FRA,France,FR
NULL,Mooncup,NULL,Women,1018,BEL,Belgium,BE
NULL,Seagulls,NULL,Women,1073,GER,Germany,DE
NULL,Tequila Boom Boom,NULL,Women,1093,ITA,Italy,IT
NULL,Wuf.,NULL,Women,1018,BEL,Belgium,BE
NULL,Deep Space,NULL,Mixed,1069,GBR,Great Britain,GB
NULL,DISConnection,NULL,Mixed,1073,GER,Germany,DE
NULL,FRuBB,NULL,Mixed,1073,GER,Germany,DE
NULL,GRUT,NULL,Mixed,1135,NED,Netherlands,NL
NULL,KS FLOW WROCŁAW,NULL,Mixed,1151,POL,Poland,PL
NULL,Leamington Lemmings,NULL,Mixed,1069,GBR,Great Britain,GB
NULL,Left Overs,NULL,Mixed,1051,CZE,Czech Republic,CZ
NULL,Manchots,NULL,Mixed,1065,FRA,France,FR
NULL,Monkey Grenoble,NULL,Mixed,1065,FRA,France,FR
NULL,Nullacht! Ultimate,NULL,Mixed,1073,GER,Germany,DE
NULL,Reading Ultimate,NULL,Mixed,1069,GBR,Great Britain,GB
NULL,Savage Ultimate,NULL,Mixed,1151,POL,Poland,PL
NULL,Smog,NULL,Mixed,1069,GBR,Great Britain,GB
NULL,Tartu Turbulence,NULL,Mixed,1061,EST,Estonia,EE
NULL,Zoom Ultimate,NULL,Mixed,1190,TUR,Turkey,TR
NULL,Glasgow,NULL,Mixed,1069,GBR,Great Britain,GB
NULL,3SB - women,NULL,Women,1051,CZE,Czech Republic,CZ
NULL,box vienna,NULL,Women,1012,AUT,Austria,AT
NULL,Bristol,NULL,Women,1069,GBR,Great Britain,GB
NULL,Dublin Gravity,NULL,Women,1088,IRL,Ireland,IE
NULL,East Block,NULL,Women,1051,CZE,Czech Republic,CZ
NULL,Flame,NULL,Women,1088,IRL,Ireland,IE
NULL,Heidees Frauen,NULL,Women,1073,GER,Germany,DE
NULL,Iceni,NULL,Women,1069,GBR,Great Britain,GB
NULL,Jetset LUV,NULL,Women,1018,BEL,Belgium,BE
NULL,JinX,NULL,Women,1073,GER,Germany,DE
NULL,Mooncup,NULL,Women,1018,BEL,Belgium,BE
NULL,Shout,NULL,Women,1093,ITA,Italy,IT
NULL,Spice Ultimate,NULL,Women,1069,GBR,Great Britain,GB
NULL,Tequila Boom Boom,NULL,Women,1093,ITA,Italy,IT
NULL,Troubles Warsaw,NULL,Women,1151,POL,Poland,PL
NULL,YAKA,NULL,Women,1065,FRA,France,FR
NULL,3SB - Open,NULL,Open,1051,CZE,Czech Republic,CZ
NULL,Bad Skid,NULL,Open,1073,GER,Germany,DE
NULL,BFD LaFotta,NULL,Open,1093,ITA,Italy,IT
NULL,Bristol Open,NULL,Open,1069,GBR,Great Britain,GB
NULL,Chevron Action Flash,NULL,Open,1069,GBR,Great Britain,GB
NULL,Clapham Ultimate,NULL,Open,1069,GBR,Great Britain,GB
NULL,Cotarica Grandes,NULL,Open,1093,ITA,Italy,IT
NULL,Flying Angels Bern,NULL,Open,1174,SUI,Switzerland,CH
NULL,FWD>>,NULL,Open,1012,AUT,Austria,AT
NULL,Gentle Open,NULL,Open,1018,BEL,Belgium,BE
NULL,JetSet Ultimate Open,NULL,Open,1018,BEL,Belgium,BE
NULL,Københavns Frisbee Klub (KFK),NULL,Open,1052,DEN,Denmark,DK
NULL,M.U.C.,NULL,Open,1073,GER,Germany,DE
NULL,Mooncatchers,NULL,Open,1018,BEL,Belgium,BE
NULL,Otso,NULL,Open,1064,FIN,Finland,FI
NULL,Outsiterz,NULL,Open,1176,SVK,Slovakia,SK
NULL,Panthers Bern,NULL,Open,1174,SUI,Switzerland,CH
NULL,Panthers Wrocław,NULL,Open,1151,POL,Poland,PL
NULL,Uprising,NULL,Open,1151,POL,Poland,PL
NULL,Ranelagh,NULL,Open,1088,IRL,Ireland,IE
NULL,SmashD,NULL,Open,1069,GBR,Great Britain,GB
NULL,Tchac,NULL,Open,1065,FRA,France,FR
NULL,Wall City,NULL,Open,1073,GER,Germany,DE
NULL,Alba,NULL,Open,1069,GBR,Great Britain,GB
NULL,KFUM Örebro Frisbee,NULL,Open,1177,SWE,Sweden,SE
NULL,KFK,NULL,Open,1052,DEN,Denmark,DK
NULL,Terrible Monkeys,NULL,Open,1051,CZE,Czech Republic,CZ
NULL,FWD>>,NULL,Open,1012,AUT,Austria,AT
NULL,Uprising Ultimate,NULL,Open,1151,POL,Poland,PL
NULL,Panthers Wrocław,NULL,Open,1151,POL,Poland,PL
NULL,Outsiterz,NULL,Open,1176,SVK,Slovakia,SK
NULL,3SB,NULL,Open,1051,CZE,Czech Republic,CZ
NULL,Atrofované Ruce,NULL,Open,1051,CZE,Czech Republic,CZ
NULL,thebigEZ,NULL,Open,1012,AUT,Austria,AT
NULL,Iznogood,NULL,Open,1065,FRA,France,FR
NULL,Monkey,NULL,Open,1065,FRA,France,FR
NULL,Flying Angels Bern,NULL,Open,1174,SUI,Switzerland,CH
NULL,Quijotes,NULL,Open,1060,ESP,Spain,ES
NULL,Freespeed,NULL,Open,1174,SUI,Switzerland,CH
NULL,Heidees,NULL,Open,1073,GER,Germany,DE
NULL,XVI,NULL,Open,1088,IRL,Ireland,IE
NULL,Smash'D,NULL,Open,1069,GBR,Great Britain,GB
NULL,SMOG,NULL,Open,1069,GBR,Great Britain,GB
NULL,Freezzz Beezzz,NULL,Open,1018,BEL,Belgium,BE
NULL,Aarhus,NULL,Open,1052,DEN,Denmark,DK
NULL,Grut,NULL,Open,1135,NED,Netherlands,NL
NULL,UFO,NULL,Open,1135,NED,Netherlands,NL
NULL,ZU PlatZHirsch,NULL,Open,1174,SUI,Switzerland,CH
NULL,Révolution'Air,NULL,Open,1065,FRA,France,FR
NULL,Solebang,NULL,Open,1174,SUI,Switzerland,CH
NULL,Tchac,NULL,Open,1065,FRA,France,FR
NULL,AUT Beefree,NULL,Open,1093,ITA,Italy,IT
NULL,Jetset LUV,NULL,Women,1018,BEL,Belgium,BE
NULL,Queen Kong,NULL,Women,1065,FRA,France,FR
NULL,FlyHigh Louves,NULL,Women,1174,SUI,Switzerland,CH
NULL,Tequila Boom Boom,NULL,Women,1093,ITA,Italy,IT
NULL,wuf.,NULL,Women,1018,BEL,Belgium,BE
NULL,FABulous,NULL,Women,1174,SUI,Switzerland,CH
NULL,BFD Shout,NULL,Women,1093,ITA,Italy,IT
NULL,GRUT,NULL,Women,1135,NED,Netherlands,NL
NULL,Solebang,NULL,Women,1174,SUI,Switzerland,CH
NULL,Catchup,NULL,Women,1012,AUT,Austria,AT
NULL,Deep Space,NULL,Mixed,1069,GBR,Great Britain,GB
NULL,BN1,NULL,Mixed,1069,GBR,Great Britain,GB
NULL,Colorado,NULL,Mixed,1073,GER,Germany,DE
NULL,Zombees,NULL,Mixed,1012,AUT,Austria,AT
NULL,Nuclear Discs,NULL,Mixed,1166,SLO,Slovenia,SI
